id;href;external_id;priority;description;category;status;order_date;completion_date;requested_start_date;requested_completion_date;expected_completion_date;notification_contact;customer_id;shopping_cart_id;type;location_id;created_by;created_date;updated_by;updated_date
1;Parks;Awesome Plastic;methodical Malawi;indexing Rubber;override Tunnel invoice;Tuna;2021-07-13T18:01:17;2021-07-13T15:14:05;2021-07-13T09:28:53;2021-07-13T14:20:30;2021-07-13T13:54:18;Tuna Intelligent Cross-platform;88228;84807;Cambridgeshire;72801;Computer;2021-07-14T01:27:54;Home;2021-07-13T08:38:01
2;sexy teal Australia;Granite;Metal;Licensed Avon;reinvent;Functionality AI;2021-07-13T13:16:40;2021-07-14T02:07:02;2021-07-13T11:16:15;2021-07-14T04:36:16;2021-07-13T19:48:39;Fall;98581;90856;Human;25348;Rubber interfaces;2021-07-14T04:23:46;Borders Berkshire;2021-07-14T05:23:20
3;Shirt firmware;Assimilated black;syndicate index;Arizona deposit;copying;gold Liaison;2021-07-13T10:53:27;2021-07-13T20:50:07;2021-07-13T15:37:46;2021-07-14T04:56:21;2021-07-13T20:14:29;parse Proactive Frozen;19076;10910;Books Open-source Account;45355;Direct;2021-07-13T13:41:38;Account invoice compressing;2021-07-14T03:48:21
4;revolutionize;protocol Shirt B2C;Chips;Fully-configurable next-generation;Bike payment payment;sky;2021-07-13T14:33:19;2021-07-13T12:18:59;2021-07-13T20:06:15;2021-07-13T23:07:07;2021-07-13T18:03:18;Table invoice;61409;37113;Automotive Wooden syndicate;7853;Generic;2021-07-14T01:08:38;Finland Creative De-engineered;2021-07-14T03:24:14
5;analyzer Junction Cambridgeshire;customized;Guatemala;Electronics Unbranded;Rwanda;Nevada;2021-07-13T16:24:40;2021-07-14T03:55:07;2021-07-13T14:22:11;2021-07-13T12:14:51;2021-07-14T02:26:00;Bike firewall invoice;47344;97792;monitor system Soft;89493;content SDD;2021-07-13T22:45:09;Iran Music;2021-07-13T20:03:45
6;action-items Svalbard architectures;Bacon portals Mouse;killer;New;Awesome Tools;generation;2021-07-14T05:30:53;2021-07-13T22:14:58;2021-07-14T04:25:32;2021-07-13T06:04:43;2021-07-13T07:41:09;open-source;87668;33466;Bike Man California;50729;fuchsia bluetooth Cayman;2021-07-13T21:20:51;flexibility Chair Representative;2021-07-13T10:18:59
7;Hong;hacking;Legacy;Creative web-enabled;Human connecting Turkey;transform Internal Specialist;2021-07-13T08:51:45;2021-07-13T05:52:27;2021-07-14T04:52:33;2021-07-13T13:36:02;2021-07-13T10:18:42;bottom-line transmitting USB;24311;666;Proactive Pakistan Functionality;20884;Avon feed;2021-07-14T02:20:06;withdrawal;2021-07-14T01:14:28
8;Utah concept Dynamic;Borders Account Rustic;primary synergize;Generic Fantastic;invoice grid-enabled;transmitting capacitor;2021-07-13T07:56:17;2021-07-13T07:51:36;2021-07-13T05:55:13;2021-07-13T15:09:45;2021-07-13T18:01:56;Cambridgeshire connect Account;44590;8977;Practical;1312;Uganda Tools uniform;2021-07-13T10:17:48;Computers well-modulated;2021-07-13T21:33:05
9;Automotive Marketing ROI;Unbranded Assistant;Seychelles;expedite green FTP;Identity;Versatile;2021-07-13T05:54:11;2021-07-14T04:38:22;2021-07-13T16:58:53;2021-07-13T20:55:32;2021-07-13T18:44:13;Auto wireless sensor;90199;9463;withdrawal;54980;Adaptive Samoa JBOD;2021-07-13T20:59:57;Tasty Carolina;2021-07-13T14:44:25
10;Industrial open-source;bypass Gorgeous Practical;up Gloves Island;utilisation;overriding Salad;driver;2021-07-13T11:16:26;2021-07-13T22:16:10;2021-07-13T07:37:03;2021-07-13T12:14:42;2021-07-13T17:41:57;Sleek;27629;16392;New payment;47986;Peru solutions Global;2021-07-14T02:48:32;Boliviano web-readiness;2021-07-13T09:48:11
