id;biller_id;fullfillment_id;acquisition_id;action;state;quantity;item_type;item_description;cart_item_id;created_by;created_date;updated_by;updated_date
1;79784;83123;49626;Avon connect;transitional leading-edge Berkshire;63212;Korea Land;SAS;1465;Tuna;2021-07-13T17:31:14;Innovative tan;2021-07-13T23:12:52
2;21035;20525;57630;bypass Ergonomic;Missouri schemas violet;17104;invoice;open-source Home Operative;2927;Dynamic conglomeration;2021-07-13T14:35:17;Rustic;2021-07-13T20:14:34
3;66599;94290;41292;compelling;monitor Supervisor;5619;Lead synthesizing Salad;Utah overriding;26778;transmitter Nepal Lead;2021-07-13T18:35:52;Kids next-generation;2021-07-14T02:24:30
4;60309;85994;98859;Bedfordshire;1080p;1854;24/365 Tajikistan Gambia;black;60413;open-source throughput Squares;2021-07-13T21:32:29;Ball;2021-07-13T13:56:01
5;51123;46570;1039;uniform AGP Solomon;Garden Cuba SDD;86237;navigating;Home content Hat;45326;New;2021-07-13T21:19:41;Intelligent Associate;2021-07-13T07:34:26
6;72207;29320;45768;back-end connecting Granite;pink Ports;42414;Shoes wireless;haptic;74868;Account Islands Granite;2021-07-13T14:04:48;Bhutan;2021-07-13T07:48:51
7;31246;85557;78037;Savings;Cotton hack;65867;Music orange;Cotton;11187;deposit plum;2021-07-13T13:40:56;Representative;2021-07-13T16:19:03
8;74096;65722;19046;system Berkshire SQL;Distributed Kentucky;94238;AI Hampshire;Unbranded;27698;Idaho;2021-07-14T00:30:30;Sleek;2021-07-13T19:50:30
9;2903;80801;22396;fuchsia;Analyst distributed;55259;Principal;Meadows neural ROI;98635;ADP Unbranded;2021-07-13T22:21:49;Movies exuding;2021-07-13T10:19:47
10;76427;98251;79888;reciprocal Incredible;Turkey Cayman Re-contextualized;28349;Kuna SDD;compress;57452;Arab;2021-07-13T14:29:46;enhance;2021-07-14T04:37:37
